LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
AUS,REALGDPFORECAST,TOT,AGRWTH,A,2009,1.8725986111,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,2010,2.4663691624,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,2011,2.6695883251,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,2012,3.9279810961,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,2013,2.2221083522,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,2014,2.5417280409,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,2015,2.5138852504,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,2016,2.5718825522,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,2017,2.2431734751,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,2018,3.0575646775,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,2019,2.9340334973,
AUS,REALGDPFORECAST,TOT,AGRWTH,A,2020,2.5935115551,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,2009,-3.6456867455,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,2010,1.8816290338,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,2011,3.0267220865,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,2012,0.6154991151,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,2013,-0.0249974013,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,2014,0.7757965644,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,2015,1.0999325165,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,2016,2.0361390252,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,2017,2.719169636,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,2018,2.6280795379,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,2019,1.9475285291,
AUT,REALGDPFORECAST,TOT,AGRWTH,A,2020,1.9033143735,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,2009,-2.2504568397,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,2010,2.7441570631,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,2011,1.7986118451,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,2012,0.2346054105,
BEL,REALGDPFORECAST,TOT,AGRWTH,A,2013,0.2012538907,
